Customer_No,Prediction,Probability_Prediction
90000,0,0.1
90001,0,0.14
90002,0,0.02
90003,0,0.09
90004,0,0.35
90005,0,0.02
90006,0,0.1
90007,0,0.14
90008,0,0.32
90009,0,0.07
90010,0,0.1
90011,0,0.11
90012,0,0.36
90013,0,0.09
90014,0,0.24
90015,0,0.17
90016,0,0.07
90017,0,0.01
90018,0,0.07
90019,0,0.16
90020,0,0.1
90021,0,0.19
90022,0,0.16
90023,0,0.07
90024,0,0.09
90025,0,0.06
90026,0,0.09
90027,0,0.1
90028,0,0.12
90029,0,0.09
90030,0,0.09
90031,0,0.05
90032,0,0.1
90033,0,0.3
90034,0,0.11
90035,0,0.13
90036,0,0.23
90037,0,0.2
90038,0,0.09
90039,0,0.07
90040,0,0.01
90041,0,0.2
90042,0,0.15
90043,0,0.14
90044,0,0.01
90045,0,0.15
90046,0,0.24
90047,0,0.15
90048,0,0.27
90049,0,0.14
90050,0,0.15
90051,0,0.07
90052,0,0.08
90053,0,0.01
90054,0,0.07
90055,0,0.21
90056,0,0.07
90057,0,0.1
90058,0,0.15
90059,0,0.21
90060,0,0.07
90061,0,0.07
90062,0,0.26
90063,0,0.08
90064,0,0.11
90065,0,0.2
90066,0,0.01
90067,0,0.06
90068,0,0.06
90069,0,0.07
90070,0,0.07
90071,0,0.17
90072,0,0.18
90073,0,0.07
90074,0,0.26
90075,0,0.07
90076,0,0.23
90077,0,0.08
90078,0,0.09
90079,0,0.07
90080,0,0.16
90081,0,0.13
90082,0,0.07
90083,0,0.06
90084,0,0.09
90085,0,0.01
90086,0,0.29
90087,0,0.12
90088,0,0.15
90089,0,0.18
90090,0,0.19
90091,0,0.01
90092,0,0.38
90093,0,0.35
90094,0,0.03
90095,0,0.19
90096,0,0.15
90097,0,0.22
90098,0,0.19
90099,0,0.09
90100,0,0.04
90101,0,0.12
90102,0,0.08
90103,0,0.07
90104,0,0.15
90105,0,0.06
90106,0,0.08
90107,0,0.1
90108,0,0.22
90109,0,0.02
90110,0,0.01
90111,0,0.06
90112,0,0.09
90113,0,0.21
90114,0,0.17
90115,0,0.2
90116,0,0.03
90117,0,0.37
90118,0,0.1
90119,0,0.11
90120,0,0.08
90121,0,0.09
90122,0,0.12
90123,0,0.09
90124,0,0.04
90125,0,0.18
90126,0,0.06
90127,0,0.09
90128,0,0.13
90129,0,0.09
90130,0,0.08
90131,0,0.07
90132,0,0.02
90133,0,0.1
90134,0,0.06
90135,0,0.15
90136,0,0.07
90137,0,0.07
90138,0,0.31
90139,0,0.02
90140,0,0.07
90141,0,0.34
90142,0,0.24
90143,0,0.06
90144,0,0.11
90145,0,0.22
90146,0,0.06
90147,0,0.22
90148,0,0.07
90149,0,0.09
90150,0,0.11
90151,0,0.19
90152,0,0.27
90153,0,0.13
90154,0,0.2
90155,0,0.11
90156,0,0.24
90157,0,0.12
90158,0,0.13
90159,0,0.07
90160,0,0.05
90161,0,0.19
90162,0,0.12
90163,0,0.07
90164,0,0.09
90165,0,0.22
90166,0,0.04
90167,0,0.09
90168,0,0.25
90169,0,0.1
90170,0,0.07
90171,0,0.09
90172,0,0.03
90173,0,0.11
90174,0,0.08
90175,0,0.09
90176,0,0.07
90177,0,0.09
90178,0,0.1
90179,0,0.19
90180,0,0.16
90181,0,0.02
90182,0,0.16
90183,0,0.1
90184,0,0.03
90185,0,0.04
90186,0,0.09
90187,0,0.12
90188,0,0.12
90189,0,0.06
90190,0,0.26
90191,0,0.07
90192,0,0.07
90193,0,0.09
90194,0,0.08
90195,0,0.08
90196,0,0.23
90197,0,0.06
90198,0,0.03
90199,0,0.01
90200,0,0.1
90201,0,0.06
90202,0,0.07
90203,0,0.07
90204,0,0.18
90205,0,0.1
90206,0,0.06
90207,0,0.07
90208,0,0.25
90209,0,0.32
90210,0,0.09
90211,0,0.16
90212,0,0.02
90213,0,0.07
90214,0,0.18
90215,0,0.07
90216,0,0.1
90217,0,0.09
90218,0,0.1
90219,0,0.06
90220,0,0.1
90221,0,0.23
90222,0,0.21
90223,0,0.1
90224,0,0.22
90225,0,0.24
90226,0,0.03
90227,0,0.07
90228,0,0.09
90229,0,0.2
90230,0,0.01
90231,0,0.03
90232,0,0.1
90233,0,0.11
90234,0,0.02
90235,0,0.08
90236,0,0.21
90237,0,0.04
90238,0,0.23
90239,0,0.06
90240,0,0.02
90241,0,0.07
90242,0,0.21
90243,0,0.09
90244,0,0.17
90245,0,0.02
90246,0,0.26
90247,0,0.21
90248,0,0.11
90249,0,0.06
90250,0,0.03
90251,0,0.25
90252,0,0.09
90253,0,0.06
90254,0,0.18
90255,0,0.31
90256,0,0.24
90257,0,0.05
90258,0,0.29
90259,0,0.1
90260,0,0.06
90261,0,0.1
90262,0,0.08
90263,0,0.07
90264,0,0.12
90265,0,0.06
90266,0,0.06
90267,0,0.07
90268,0,0.18
90269,0,0.07
90270,0,0.04
90271,0,0.19
90272,0,0.07
90273,0,0.09
90274,0,0.07
90275,0,0.11
90276,0,0.1
90277,0,0.05
90278,0,0.05
90279,0,0.09
90280,0,0.29
90281,0,0.16
90282,0,0.02
90283,0,0.28
90284,0,0.08
90285,0,0.05
90286,0,0.15
90287,0,0.01
90288,0,0.06
90289,0,0.18
90290,0,0.07
90291,0,0.09
90292,0,0.07
90293,0,0.08
90294,0,0.14
90295,0,0.33
90296,0,0.07
90297,0,0.11
90298,0,0.11
90299,0,0.04
90300,0,0.06
90301,0,0.07
90302,0,0.1
